1	1	2	0.0303000D-0	0.0999000D-0	0.0254000D-0
2	1	3	0.0129000D-0	0.0424000D-0	0.0108200D-0
3	4	5	0.0017600D-0	0.0079800D-0	0.0021000D-0
4	3	5	0.0241000D-0	0.1080000D-0	0.0284000D-0
5	5	6	0.0119000D-0	0.0540000D-0	0.0142600D-0
6	6	7	0.0045900D-0	0.0208000D-0	0.0055000D-0
7	8	9	0.0024400D-0	0.0305000D-0	1.1620000D-0
8	8	5	0.0000000D-0	0.0267000D-0	0.0000000D-0
9	9	10	0.0025800D-0	0.0322000D-0	1.2300000D-0
10	4	11	0.0209000D-0	0.0688000D-0	0.0174800D-0
11	5	11	0.0203000D-0	0.0682000D-0	0.0173800D-0
12	11	12	0.0059500D-0	0.0196000D-0	0.0050200D-0
13	2	12	0.0187000D-0	0.0616000D-0	0.0157200D-0
14	3	12	0.0484000D-0	0.1600000D-0	0.0406000D-0
15	7	12	0.0086200D-0	0.0340000D-0	0.0087400D-0
16	11	13	0.0222500D-0	0.0731000D-0	0.0187600D-0
17	12	14	0.0215000D-0	0.0707000D-0	0.0181600D-0
18	13	15	0.0744000D-0	0.2444000D-0	0.0626800D-0
19	14	15	0.0595000D-0	0.1950000D-0	0.0502000D-0
20	12	16	0.0212000D-0	0.0834000D-0	0.0214000D-0
21	15	17	0.0132000D-0	0.0437000D-0	0.0444000D-0
22	16	17	0.0454000D-0	0.1801000D-0	0.0466000D-0
23	17	18	0.0123000D-0	0.0505000D-0	0.0129800D-0
24	18	19	0.0111900D-0	0.0493000D-0	0.0114200D-0
25	19	20	0.0252000D-0	0.1170000D-0	0.0298000D-0
26	15	19	0.0120000D-0	0.0394000D-0	0.0101000D-0
27	20	21	0.0183000D-0	0.0849000D-0	0.0216000D-0
28	21	22	0.0209000D-0	0.0970000D-0	0.0246000D-0
29	22	23	0.0342000D-0	0.1590000D-0	0.0404000D-0
30	23	24	0.0135000D-0	0.0492000D-0	0.0498000D-0
31	23	25	0.0156000D-0	0.0800000D-0	0.0864000D-0
32	26	25	0.0000000D-0	0.0382000D-0	0.0000000D-0
33	25	27	0.0318000D-0	0.1630000D-0	0.1764000D-0
34	27	28	0.0191300D-0	0.0855000D-0	0.0216000D-0
35	28	29	0.0237000D-0	0.0943000D-0	0.0238000D-0
36	30	17	0.0000000D-0	0.0388000D-0	0.0000000D-0
37	8	30	0.0043100D-0	0.0504000D-0	0.5140000D-0
38	26	30	0.0079900D-0	0.0860000D-0	0.9080000D-0
39	17	31	0.0474000D-0	0.1563000D-0	0.0399000D-0
40	29	31	0.0108000D-0	0.0331000D-0	0.0083000D-0
41	23	32	0.0317000D-0	0.1153000D-0	0.1173000D-0
42	31	32	0.0298000D-0	0.0985000D-0	0.0251000D-0
43	27	32	0.0229000D-0	0.0755000D-0	0.0192600D-0
44	15	33	0.0380000D-0	0.1244000D-0	0.0319400D-0
45	19	34	0.0752000D-0	0.2470000D-0	0.0632000D-0
46	35	36	0.0022400D-0	0.0102000D-0	0.0026800D-0
47	35	37	0.0110000D-0	0.0497000D-0	0.0131800D-0
48	33	37	0.0415000D-0	0.1420000D-0	0.0366000D-0
49	34	36	0.0087100D-0	0.0268000D-0	0.0056800D-0
50	34	37	0.0025600D-0	0.0094000D-0	0.0098400D-0
51	38	37	0.0000000D-0	0.0375000D-0	0.0000000D-0
52	37	39	0.0321000D-0	0.1060000D-0	0.0270000D-0
53	37	40	0.0593000D-0	0.1680000D-0	0.0420000D-0
54	30	38	0.0046400D-0	0.0540000D-0	0.4220000D-0
55	39	40	0.0184000D-0	0.0605000D-0	0.0155200D-0
56	40	41	0.0145000D-0	0.0487000D-0	0.0122200D-0
57	40	42	0.0555000D-0	0.1830000D-0	0.0466000D-0
58	41	42	0.0410000D-0	0.1350000D-0	0.0344000D-0
59	43	44	0.0608000D-0	0.2454000D-0	0.0606800D-0
60	34	43	0.0413000D-0	0.1681000D-0	0.0422600D-0
61	44	45	0.0224000D-0	0.0901000D-0	0.0224000D-0
62	45	46	0.0400000D-0	0.1356000D-0	0.0332000D-0
63	46	47	0.0380000D-0	0.1270000D-0	0.0316000D-0
64	46	48	0.0601000D-0	0.1890000D-0	0.0472000D-0
65	47	49	0.0191000D-0	0.0625000D-0	0.0160400D-0
66	42	49	0.0357000D-0	0.1615000D-0	0.1720000D-0
67	45	49	0.0684000D-0	0.1860000D-0	0.0444000D-0
68	48	49	0.0179000D-0	0.0505000D-0	0.0125800D-0
69	49	50	0.0267000D-0	0.0752000D-0	0.0187400D-0
70	49	51	0.0486000D-0	0.1370000D-0	0.0342000D-0
71	51	52	0.0203000D-0	0.0588000D-0	0.0139600D-0
72	52	53	0.0405000D-0	0.1635000D-0	0.0405800D-0
73	53	54	0.0263000D-0	0.1220000D-0	0.0310000D-0
74	49	54	0.0399000D-0	0.1450000D-0	0.1468000D-0
75	54	55	0.0169000D-0	0.0707000D-0	0.0202000D-0
76	54	56	0.0027500D-0	0.0095500D-0	0.0073200D-0
77	55	56	0.0048800D-0	0.0151000D-0	0.0037400D-0
78	56	57	0.0343000D-0	0.0966000D-0	0.0242000D-0
79	50	57	0.0474000D-0	0.1340000D-0	0.0332000D-0
80	56	58	0.0343000D-0	0.0966000D-0	0.0242000D-0
81	51	58	0.0255000D-0	0.0719000D-0	0.0178800D-0
82	54	59	0.0503000D-0	0.2293000D-0	0.0598000D-0
83	56	59	0.0407000D-0	0.1224000D-0	0.1105000D-0
84	55	59	0.0473900D-0	0.2158000D-0	0.0564600D-0
85	59	60	0.0317000D-0	0.1450000D-0	0.0376000D-0
86	59	61	0.0328000D-0	0.1500000D-0	0.0388000D-0
87	60	61	0.0026400D-0	0.0135000D-0	0.0145600D-0
88	60	62	0.0123000D-0	0.0561000D-0	0.0146800D-0
89	61	62	0.0082400D-0	0.0376000D-0	0.0098000D-0
90	63	59	0.0000000D-0	0.0386000D-0	0.0000000D-0
91	63	64	0.0017200D-0	0.0200000D-0	0.2160000D-0
92	64	61	0.0000000D-0	0.0268000D-0	0.0000000D-0
93	38	65	0.0090100D-0	0.0986000D-0	1.0460000D-0
94	64	65	0.0026900D-0	0.0302000D-0	0.3800000D-0
95	49	66	0.0090000D-0	0.0459000D-0	0.0496000D-0
96	62	66	0.0482000D-0	0.2180000D-0	0.0578000D-0
97	62	67	0.0258000D-0	0.1170000D-0	0.0310000D-0
98	65	66	0.0000000D-0	0.0370000D-0	0.0000000D-0
99	66	67	0.0224000D-0	0.1015000D-0	0.0268200D-0
100	65	68	0.0013800D-0	0.0160000D-0	0.6380000D-0
101	47	69	0.0844000D-0	0.2778000D-0	0.0709200D-0
102	49	69	0.0985000D-0	0.3240000D-0	0.0828000D-0
103	68	69	0.0000000D-0	0.0370000D-0	0.0000000D-0
104	69	70	0.0300000D-0	0.1270000D-0	0.1220000D-0
105	24	70	0.0022100D-0	0.4115000D-0	0.1019800D-0
106	70	71	0.0088200D-0	0.0355000D-0	0.0087800D-0
107	24	72	0.0488000D-0	0.1960000D-0	0.0488000D-0
108	71	72	0.0446000D-0	0.1800000D-0	0.0444400D-0
109	71	73	0.0086600D-0	0.0454000D-0	0.0117800D-0
110	70	74	0.0401000D-0	0.1323000D-0	0.0336800D-0
111	70	75	0.0428000D-0	0.1410000D-0	0.0360000D-0
112	69	75	0.0405000D-0	0.1220000D-0	0.1240000D-0
113	74	75	0.0123000D-0	0.0406000D-0	0.0103400D-0
114	76	77	0.0444000D-0	0.1480000D-0	0.0368000D-0
115	69	77	0.0309000D-0	0.1010000D-0	0.1038000D-0
116	75	77	0.0601000D-0	0.1999000D-0	0.0497800D-0
117	77	78	0.0037600D-0	0.0124000D-0	0.0126400D-0
118	78	79	0.0054600D-0	0.0244000D-0	0.0064800D-0
119	77	80	0.0109000D-0	0.0332000D-0	0.0700000D-0
120	79	80	0.0156000D-0	0.0704000D-0	0.0187000D-0
121	68	81	0.0017500D-0	0.0202000D-0	0.8080000D-0
122	81	80	0.0000000D-0	0.0370000D-0	0.0000000D-0
123	77	82	0.0298000D-0	0.0853000D-0	0.0817400D-0
124	82	83	0.0112000D-0	0.0366500D-0	0.0379600D-0
125	83	84	0.0625000D-0	0.1320000D-0	0.0258000D-0
126	83	85	0.0430000D-0	0.1480000D-0	0.0348000D-0
127	84	85	0.0302000D-0	0.0641000D-0	0.0123400D-0
128	85	86	0.0350000D-0	0.1230000D-0	0.0276000D-0
129	86	87	0.0282800D-0	0.2074000D-0	0.0445000D-0
130	85	88	0.0200000D-0	0.1020000D-0	0.0276000D-0
131	85	89	0.0239000D-0	0.1730000D-0	0.0470000D-0
132	88	89	0.0139000D-0	0.0712000D-0	0.0193400D-0
133	89	90	0.0164000D-0	0.0652000D-0	0.1588000D-0
134	90	91	0.0254000D-0	0.0836000D-0	0.0214000D-0
135	89	92	0.0080000D-0	0.0383000D-0	0.0962000D-0
136	91	92	0.0387000D-0	0.1272000D-0	0.0326800D-0
137	92	93	0.0258000D-0	0.0848000D-0	0.0218000D-0
138	92	94	0.0481000D-0	0.1580000D-0	0.0406000D-0
139	93	94	0.0223000D-0	0.0732000D-0	0.0187600D-0
140	94	95	0.0132000D-0	0.0434000D-0	0.0111000D-0
141	80	96	0.0356000D-0	0.1820000D-0	0.0494000D-0
142	82	96	0.0162000D-0	0.0530000D-0	0.0544000D-0
143	94	96	0.0269000D-0	0.0869000D-0	0.0230000D-0
144	80	97	0.0183000D-0	0.0934000D-0	0.0254000D-0
145	80	98	0.0238000D-0	0.1080000D-0	0.0286000D-0
146	80	99	0.0454000D-0	0.2060000D-0	0.0546000D-0
147	92	100	0.0648000D-0	0.2950000D-0	0.0472000D-0
148	94	100	0.0178000D-0	0.0580000D-0	0.0604000D-0
149	95	96	0.0171000D-0	0.0547000D-0	0.0147400D-0
150	96	97	0.0173000D-0	0.0885000D-0	0.0240000D-0
151	98	100	0.0397000D-0	0.1790000D-0	0.0476000D-0
152	99	100	0.0180000D-0	0.0813000D-0	0.0216000D-0
153	100	101	0.0277000D-0	0.1262000D-0	0.0328000D-0
